"","employee","salaries_2017","salaries_2018","change","got_raise"
"90","Employee 90",40168.236901518,49164.2673511524,8996.03044963442,TRUE
"91","Employee 91",46759.3975132331,46149.6387270745,-609.758786158636,FALSE
"92","Employee 92",49317.4927146174,48443.1745740585,-874.318140558898,FALSE
"93","Employee 93",49617.1078784391,46997.2927682102,-2619.81511022896,FALSE
"94","Employee 94",45893.2720148005,49693.1024768855,3799.83046208508,TRUE
"95","Employee 95",45573.1426598504,47873.897200916,2300.75454106554,TRUE
"96","Employee 96",42951.8326022662,49399.5721579995,6447.73955573328,TRUE
"97","Employee 97",43628.8784514181,46342.8364484571,2713.95799703896,TRUE
"98","Employee 98",49365.6557495706,58262.5317247584,8896.87597518787,TRUE
"99","Employee 99",40506.5779970028,47816.5603487287,7309.98235172592,TRUE
"100","Employee 100",43033.572724089,51674.4340385776,8640.86131448857,TRUE
